frame,timestamp,type,name,x_norm,y_norm,z_norm,visibility,x_px,y_px,dx_px,dy_px,distance_px,speed_px_per_sec,angle_deg
5,0.2083,keypoint,left_shoulder,0.598384,0.585261,0.103202,0.999785,242,421,0,-1,1.0000,24.0000,
5,0.2083,keypoint,right_shoulder,0.467221,0.579817,0.109215,0.998186,189,417,2,0,2.0000,48.0000,
5,0.2083,keypoint,left_elbow,0.602428,0.659775,0.023537,0.935211,244,475,0,-1,1.0000,24.0000,
5,0.2083,keypoint,right_elbow,0.480943,0.636315,-0.062282,0.836252,195,458,3,-1,3.1623,75.8947,
5,0.2083,keypoint,left_wrist,0.484326,0.653125,-0.088714,0.831128,196,470,1,-2,2.2361,53.6656,
5,0.2083,keypoint,right_wrist,0.514353,0.574691,-0.323937,0.818795,208,413,1,-1,1.4142,33.9411,
5,0.2083,keypoint,left_hip,0.577300,0.729981,-0.000573,0.999157,234,525,0,0,0.0000,0.0000,
5,0.2083,keypoint,right_hip,0.486219,0.733551,0.001034,0.998501,197,528,1,0,1.0000,24.0000,
5,0.2083,keypoint,left_knee,0.578064,0.855085,-0.076878,0.987542,234,615,0,-1,1.0000,24.0000,
5,0.2083,keypoint,right_knee,0.502043,0.858295,-0.036291,0.977550,203,617,0,-1,1.0000,24.0000,
5,0.2083,keypoint,left_ankle,0.582465,0.953607,0.226194,0.966165,236,686,0,0,0.0000,0.0000,
5,0.2083,keypoint,right_ankle,0.515607,0.956953,0.223133,0.943700,209,689,0,2,2.0000,48.0000,
5,0.2083,angle,left_elbow,,,,,,,,,,,81.9320
5,0.2083,angle,right_elbow,,,,,,,,,,,24.4391
5,0.2083,angle,left_knee,,,,,,,,,,,178.3865
5,0.2083,angle,right_knee,,,,,,,,,,,179.0932
6,0.2500,keypoint,nose,0.544612,0.533731,-0.146669,0.998383,221,384,2,1,2.2361,53.6656,
6,0.2500,keypoint,left_shoulder,0.598376,0.584901,0.126005,0.999784,242,421,0,0,0.0000,0.0000,
6,0.2500,keypoint,right_shoulder,0.469959,0.579816,0.114388,0.998052,190,417,1,0,1.0000,24.0000,
6,0.2500,keypoint,left_elbow,0.602745,0.657827,0.035404,0.933747,244,473,0,-2,2.0000,48.0000,
6,0.2500,keypoint,right_elbow,0.484938,0.634861,-0.065934,0.828815,196,457,1,-1,1.4142,33.9411,
6,0.2500,keypoint,left_wrist,0.487795,0.651500,-0.080880,0.834515,198,469,2,-1,2.2361,53.6656,
6,0.2500,keypoint,right_wrist,0.515780,0.572418,-0.331719,0.819353,209,412,1,-1,1.4142,33.9411,
6,0.2500,keypoint,left_hip,0.577613,0.729809,0.001948,0.999077,234,525,0,0,0.0000,0.0000,
6,0.2500,keypoint,right_hip,0.486749,0.733416,-0.001482,0.998343,197,528,0,0,0.0000,0.0000,
6,0.2500,keypoint,left_knee,0.578082,0.854665,-0.075187,0.987148,234,615,0,0,0.0000,0.0000,
6,0.2500,keypoint,right_knee,0.502186,0.857639,-0.034618,0.976828,203,617,0,0,0.0000,0.0000,
6,0.2500,keypoint,left_ankle,0.582802,0.954546,0.195630,0.964764,236,687,0,1,1.0000,24.0000,
6,0.2500,keypoint,right_ankle,0.515333,0.957830,0.213111,0.941542,209,689,0,0,0.0000,0.0000,
6,0.2500,angle,left_elbow,,,,,,,,,,,82.8277
6,0.2500,angle,right_elbow,,,,,,,,,,,24.6442
6,0.2500,angle,left_knee,,,,,,,,,,,178.4089
6,0.2500,angle,right_knee,,,,,,,,,,,179.0932
7,0.2917,keypoint,nose,0.546377,0.534230,-0.113363,0.998255,221,384,0,0,0.0000,0.0000,
7,0.2917,keypoint,left_shoulder,0.598489,0.585933,0.143335,0.999764,242,421,0,0,0.0000,0.0000,
7,0.2917,keypoint,right_shoulder,0.473019,0.580259,0.116021,0.997908,192,417,2,0,2.0000,48.0000,
7,0.2917,keypoint,left_elbow,0.602977,0.657801,0.045179,0.927986,244,473,0,0,0.0000,0.0000,
7,0.2917,keypoint,right_elbow,0.488158,0.632942,-0.087127,0.825739,198,455,2,-2,2.8284,67.8823,
7,0.2917,keypoint,left_wrist,0.491149,0.650274,-0.049952,0.830614,199,468,1,-1,1.4142,33.9411,
7,0.2917,keypoint,right_wrist,0.515905,0.570114,-0.371431,0.823639,209,410,0,-2,2.0000,48.0000,
7,0.2917,keypoint,left_hip,0.577686,0.729875,0.004673,0.998999,234,525,0,0,0.0000,0.0000,
7,0.2917,keypoint,right_hip,0.487083,0.733512,-0.004243,0.998219,197,528,0,0,0.0000,0.0000,
7,0.2917,keypoint,left_knee,0.578965,0.853465,-0.076677,0.986736,235,614,1,-1,1.4142,33.9411,
7,0.2917,keypoint,right_knee,0.503109,0.857127,-0.033370,0.975848,204,617,1,0,1.0000,24.0000,
7,0.2917,keypoint,left_ankle,0.583071,0.954766,0.159579,0.963631,236,687,0,0,0.0000,0.0000,
7,0.2917,keypoint,right_ankle,0.515343,0.957705,0.201705,0.938946,209,689,0,0,0.0000,0.0000,
7,0.2917,angle,left_elbow,,,,,,,,,,,81.4572
7,0.2917,angle,right_elbow,,,,,,,,,,,22.7089
7,0.2917,angle,left_knee,,,,,,,,,,,179.8589
7,0.2917,angle,right_knee,,,,,,,,,,,179.4753
8,0.3333,keypoint,nose,0.547126,0.534964,-0.101144,0.998043,222,385,1,1,1.4142,33.9411,
8,0.3333,keypoint,left_shoulder,0.599283,0.586202,0.139094,0.999741,243,422,1,1,1.4142,33.9411,
8,0.3333,keypoint,right_shoulder,0.474198,0.581742,0.131615,0.997633,192,418,0,1,1.0000,24.0000,
8,0.3333,keypoint,left_elbow,0.603368,0.657856,0.031525,0.924004,244,473,0,0,0.0000,0.0000,
8,0.3333,keypoint,right_elbow,0.490889,0.632751,-0.086235,0.820818,199,455,1,0,1.0000,24.0000,
8,0.3333,keypoint,left_wrist,0.494607,0.648896,-0.060361,0.828024,200,467,1,-1,1.4142,33.9411,
8,0.3333,keypoint,right_wrist,0.516022,0.567799,-0.367986,0.826334,209,408,0,-2,2.0000,48.0000,
8,0.3333,keypoint,left_hip,0.577859,0.730223,0.003692,0.998919,234,525,0,0,0.0000,0.0000,
8,0.3333,keypoint,right_hip,0.487491,0.733530,-0.003300,0.998080,197,528,0,0,0.0000,0.0000,
8,0.3333,keypoint,left_knee,0.580624,0.853384,-0.083225,0.986369,235,614,0,0,0.0000,0.0000,
8,0.3333,keypoint,right_knee,0.503280,0.856392,-0.031751,0.974903,204,616,0,-1,1.0000,24.0000,
8,0.3333,keypoint,left_ankle,0.583278,0.954746,0.163877,0.962097,236,687,0,0,0.0000,0.0000,
8,0.3333,keypoint,right_ankle,0.515261,0.957575,0.210709,0.935741,209,689,0,0,0.0000,0.0000,
8,0.3333,angle,left_elbow,,,,,,,,,,,81.1115
8,0.3333,angle,right_elbow,,,,,,,,,,,22.7246
8,0.3333,angle,left_knee,,,,,,,,,,,179.8589
8,0.3333,angle,right_knee,,,,,,,,,,,179.3702
9,0.3750,keypoint,nose,0.547090,0.535745,-0.091663,0.997927,222,385,0,0,0.0000,0.0000,
9,0.3750,keypoint,left_shoulder,0.600685,0.586275,0.152077,0.999739,243,422,0,0,0.0000,0.0000,
9,0.3750,keypoint,right_shoulder,0.475332,0.583092,0.149349,0.997374,192,419,0,1,1.0000,24.0000,
9,0.3750,keypoint,left_elbow,0.605161,0.656534,0.032913,0.923854,245,472,1,-1,1.4142,33.9411,
9,0.3750,keypoint,right_elbow,0.496022,0.631940,-0.077036,0.818060,201,454,2,-1,2.2361,53.6656,
9,0.3750,keypoint,left_wrist,0.497743,0.647533,-0.069432,0.832988,202,466,2,-1,2.2361,53.6656,
9,0.3750,keypoint,right_wrist,0.516361,0.566865,-0.367177,0.829424,209,408,0,0,0.0000,0.0000,
9,0.3750,keypoint,left_hip,0.578480,0.730291,0.003272,0.998854,234,525,0,0,0.0000,0.0000,
9,0.3750,keypoint,right_hip,0.488252,0.733587,-0.002871,0.997953,198,528,1,0,1.0000,24.0000,
9,0.3750,keypoint,left_knee,0.582140,0.852834,-0.081561,0.985854,236,614,1,0,1.0000,24.0000,
9,0.3750,keypoint,right_knee,0.503758,0.854895,-0.043617,0.973839,204,615,0,-1,1.0000,24.0000,
9,0.3750,keypoint,left_ankle,0.583525,0.954736,0.171340,0.960344,236,687,0,0,0.0000,0.0000,
9,0.3750,keypoint,right_ankle,0.515267,0.957890,0.182413,0.932340,209,689,0,0,0.0000,0.0000,
9,0.3750,angle,left_elbow,,,,,,,,,,,79.7659
9,0.3750,angle,right_elbow,,,,,,,,,,,24.2866
9,0.3750,angle,left_knee,,,,,,,,,,,178.7127
9,0.3750,angle,right_knee,,,,,,,,,,,179.9203
10,0.4167,keypoint,nose,0.548756,0.536206,-0.107809,0.997928,222,386,0,1,1.0000,24.0000,
10,0.4167,keypoint,left_shoulder,0.602966,0.585931,0.139636,0.999754,244,421,1,-1,1.4142,33.9411,
10,0.4167,keypoint,right_shoulder,0.478416,0.583237,0.151922,0.997256,194,419,2,0,2.0000,48.0000,
10,0.4167,keypoint,left_elbow,0.609826,0.654654,0.025667,0.926129,247,471,2,-1,2.2361,53.6656,
10,0.4167,keypoint,right_elbow,0.501414,0.629079,-0.029902,0.810746,203,452,2,-2,2.8284,67.8823,
10,0.4167,keypoint,left_wrist,0.500257,0.643918,-0.076811,0.840583,203,463,1,-3,3.1623,75.8947,
10,0.4167,keypoint,right_wrist,0.522180,0.567950,-0.255066,0.821064,212,408,3,0,3.0000,72.0000,
10,0.4167,keypoint,left_hip,0.580358,0.730384,0.002743,0.998860,235,525,1,0,1.0000,24.0000,
10,0.4167,keypoint,right_hip,0.489349,0.733641,-0.002215,0.997914,198,528,0,0,0.0000,0.0000,
10,0.4167,keypoint,left_knee,0.588170,0.853107,-0.082958,0.985927,238,614,2,0,2.0000,48.0000,
10,0.4167,keypoint,right_knee,0.505160,0.855048,-0.041515,0.972965,205,615,1,0,1.0000,24.0000,
10,0.4167,keypoint,left_ankle,0.584710,0.956612,0.170758,0.959574,237,688,1,1,1.4142,33.9411,
10,0.4167,keypoint,right_ankle,0.515359,0.959784,0.201399,0.928211,209,691,0,2,2.0000,48.0000,
10,0.4167,angle,left_elbow,,,,,,,,,,,76.2615
10,0.4167,angle,right_elbow,,,,,,,,,,,26.8152
10,0.4167,angle,left_knee,,,,,,,,,,,177.2952
10,0.4167,angle,right_knee,,,,,,,,,,,178.4127
11,0.4583,keypoint,nose,0.549555,0.536512,-0.119281,0.997879,223,386,1,0,1.0000,24.0000,
11,0.4583,keypoint,left_shoulder,0.604383,0.585995,0.132127,0.999766,245,421,1,0,1.0000,24.0000,
11,0.4583,keypoint,right_shoulder,0.479802,0.583376,0.143186,0.997091,194,420,0,1,1.0000,24.0000,
11,0.4583,keypoint,left_elbow,0.610415,0.654124,0.024503,0.926160,247,470,0,-1,1.0000,24.0000,
11,0.4583,keypoint,right_elbow,0.503609,0.627090,-0.044302,0.805491,204,451,1,-1,1.4142,33.9411,
11,0.4583,keypoint,left_wrist,0.499896,0.643443,-0.110338,0.843617,202,463,-1,0,1.0000,24.0000,
11,0.4583,keypoint,right_wrist,0.524522,0.568501,-0.273353,0.810946,212,409,0,1,1.0000,24.0000,
11,0.4583,keypoint,left_hip,0.581308,0.730516,0.001593,0.998872,236,525,1,0,1.0000,24.0000,
11,0.4583,keypoint,right_hip,0.489933,0.733687,-0.001003,0.997901,198,528,0,0,0.0000,0.0000,
11,0.4583,keypoint,left_knee,0.590255,0.853141,-0.082667,0.986211,239,614,1,0,1.0000,24.0000,
11,0.4583,keypoint,right_knee,0.505970,0.855317,-0.037882,0.972664,205,615,0,0,0.0000,0.0000,
11,0.4583,keypoint,left_ankle,0.585072,0.957506,0.182915,0.960161,237,689,0,1,1.0000,24.0000,
11,0.4583,keypoint,right_ankle,0.515506,0.960644,0.216280,0.927375,209,691,0,0,0.0000,0.0000,
11,0.4583,angle,left_elbow,,,,,,,,,,,78.8209
11,0.4583,angle,right_elbow,,,,,,,,,,,28.6630
11,0.4583,angle,left_knee,,,,,,,,,,,176.5419
11,0.4583,angle,right_knee,,,,,,,,,,,178.4127
12,0.5000,keypoint,nose,0.549010,0.536414,-0.127668,0.997889,222,386,-1,0,1.0000,24.0000,
12,0.5000,keypoint,left_shoulder,0.606441,0.585405,0.131319,0.999781,246,421,1,0,1.0000,24.0000,
12,0.5000,keypoint,right_shoulder,0.480190,0.583427,0.142551,0.997040,194,420,0,0,0.0000,0.0000,
12,0.5000,keypoint,left_elbow,0.614394,0.653888,-0.005362,0.928267,249,470,2,0,2.0000,48.0000,
12,0.5000,keypoint,right_elbow,0.505207,0.626478,-0.040525,0.802614,205,451,1,0,1.0000,24.0000,
12,0.5000,keypoint,left_wrist,0.502532,0.642524,-0.157952,0.849202,204,462,2,-1,2.2361,53.6656,
12,0.5000,keypoint,right_wrist,0.530674,0.568921,-0.235238,0.803146,215,409,3,0,3.0000,72.0000,
12,0.5000,keypoint,left_hip,0.582489,0.730951,0.000239,0.998902,236,526,0,1,1.0000,24.0000,
12,0.5000,keypoint,right_hip,0.490107,0.733717,0.000390,0.997914,198,528,0,0,0.0000,0.0000,
12,0.5000,keypoint,left_knee,0.592209,0.853466,-0.085582,0.986490,240,614,1,0,1.0000,24.0000,
12,0.5000,keypoint,right_knee,0.505955,0.857016,-0.035741,0.972474,205,617,0,2,2.0000,48.0000,
12,0.5000,keypoint,left_ankle,0.585211,0.958493,0.186483,0.960589,237,690,0,1,1.0000,24.0000,
12,0.5000,keypoint,right_ankle,0.515689,0.961555,0.225147,0.925856,209,692,0,1,1.0000,24.0000,
12,0.5000,angle,left_elbow,,,,,,,,,,,76.4159
12,0.5000,angle,right_elbow,,,,,,,,,,,32.9292
12,0.5000,angle,left_knee,,,,,,,,,,,175.1369
12,0.5000,angle,right_knee,,,,,,,,,,,178.5557
13,0.5417,keypoint,nose,0.548722,0.536246,-0.118473,0.997928,222,386,0,0,0.0000,0.0000,
13,0.5417,keypoint,left_shoulder,0.607688,0.584486,0.133656,0.999794,246,420,0,-1,1.0000,24.0000,
13,0.5417,keypoint,right_shoulder,0.481227,0.583497,0.150093,0.997034,195,420,1,0,1.0000,24.0000,
13,0.5417,keypoint,left_elbow,0.615945,0.653548,0.001555,0.930222,250,470,1,0,1.0000,24.0000,
13,0.5417,keypoint,right_elbow,0.507974,0.626057,-0.021987,0.798602,206,450,1,-1,1.4142,33.9411,
13,0.5417,keypoint,left_wrist,0.504803,0.642269,-0.155093,0.854465,204,462,0,0,0.0000,0.0000,
13,0.5417,keypoint,right_wrist,0.530472,0.569105,-0.224672,0.799776,215,409,0,0,0.0000,0.0000,
13,0.5417,keypoint,left_hip,0.583056,0.731540,-0.000954,0.998930,236,526,0,0,0.0000,0.0000,
13,0.5417,keypoint,right_hip,0.490160,0.733765,0.001611,0.997942,199,528,1,0,1.0000,24.0000,
13,0.5417,keypoint,left_knee,0.592553,0.854817,-0.084850,0.986544,240,615,0,1,1.0000,24.0000,
13,0.5417,keypoint,right_knee,0.506425,0.858397,-0.035686,0.972045,205,618,0,1,1.0000,24.0000,
13,0.5417,keypoint,left_ankle,0.585396,0.959469,0.191736,0.960225,237,690,0,0,0.0000,0.0000,
13,0.5417,keypoint,right_ankle,0.516249,0.962831,0.221938,0.924363,209,693,0,1,1.0000,24.0000,
13,0.5417,angle,left_elbow,,,,,,,,,,,75.5603
13,0.5417,angle,right_elbow,,,,,,,,,,,32.5171
13,0.5417,angle,left_knee,,,,,,,,,,,175.1360
13,0.5417,angle,right_knee,,,,,,,,,,,179.2388
14,0.5833,keypoint,nose,0.548168,0.536018,-0.109836,0.997979,222,385,0,-1,1.0000,24.0000,
14,0.5833,keypoint,left_shoulder,0.608758,0.584329,0.141457,0.999804,247,420,1,0,1.0000,24.0000,
14,0.5833,keypoint,right_shoulder,0.481313,0.584175,0.145765,0.996983,195,420,0,0,0.0000,0.0000,
14,0.5833,keypoint,left_elbow,0.618055,0.653282,0.003655,0.931674,250,470,0,0,0.0000,0.0000,
14,0.5833,keypoint,right_elbow,0.511216,0.625378,-0.069498,0.797988,207,450,1,0,1.0000,24.0000,
14,0.5833,keypoint,left_wrist,0.509286,0.642706,-0.154020,0.857291,206,462,2,0,2.0000,48.0000,
14,0.5833,keypoint,right_wrist,0.529616,0.568127,-0.339582,0.803778,215,409,0,0,0.0000,0.0000,
14,0.5833,keypoint,left_hip,0.583277,0.732305,-0.001081,0.998948,236,527,0,1,1.0000,24.0000,
14,0.5833,keypoint,right_hip,0.490048,0.733940,0.001722,0.997951,198,528,-1,0,1.0000,24.0000,
